YYYYMMDDHHMM,Unnamed: 0,TYPE,TYPE.1,BBSSS,TUDE,TUDE.1,(M),(HP=MB),(HP=MB).1,(HP=MB).2,(C),(C).1,(%),DIR,SPD(M/S),VIS(M),(KG/M2),(KG/M2).1,|,PRES,PMSL,TMDB,ALSE,TMDP,REHU,WDIR,WSPD,TP03,TP24,HOVI,wind_math_direction,wind_x,wind_y
2019-10-03 03:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.6,-9999.9,31.8,24.6,-9999.9,270.0,2.1,6000.0,-9999.9,-9999.9,|,-9999.9,100760.0,304.95,-9999.9,297.75,-9999.9,270.0,2.1,-9999.9,-9999.9,6000.0,0.0,2.1,0.0
2019-10-03 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1009.0,-9999.9,36.8,18.8,-9999.9,300.0,3.6,12000.0,-9999.9,-9999.9,|,-9999.9,100900.0,309.95,-9999.9,291.95,-9999.9,300.0,3.6,-9999.9,-9999.9,12000.0,330.0,-3.5683157583187444,-0.47657386513962696
2019-10-03 06:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1009.0,-9999.9,36.8,18.8,-9999.9,300.0,3.6,12000.0,-9999.9,-9999.9,|,-9999.9,100900.0,309.95,-9999.9,291.95,-9999.9,300.0,3.6,-9999.9,-9999.9,12000.0,330.0,-3.5683157583187444,-0.47657386513962696
2019-10-03 09:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.6,-9999.9,39.3,13.5,-9999.9,310.0,4.1,12000.0,-9999.9,-9999.9,|,-9999.9,100760.0,312.45,-9999.9,286.65,-9999.9,310.0,4.1,-9999.9,-9999.9,12000.0,320.0,3.705190959079517,-1.7554372551462512
2019-10-03 09:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.6,-9999.9,39.3,13.5,-9999.9,310.0,4.1,12000.0,-9999.9,-9999.9,|,-9999.9,100760.0,312.45,-9999.9,286.65,-9999.9,310.0,4.1,-9999.9,-9999.9,12000.0,320.0,3.705190959079517,-1.7554372551462512
2019-10-03 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.5,-9999.9,37.1,23.5,-9999.9,60.0,4.1,12000.0,-9999.9,-9999.9,|,-9999.9,100650.0,310.25,-9999.9,296.65,-9999.9,60.0,4.1,-9999.9,-9999.9,12000.0,210.0,-3.623897640047724,1.9176459252053115
2019-10-03 12:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.5,-9999.9,37.1,23.5,-9999.9,60.0,4.1,12000.0,-9999.9,-9999.9,|,-9999.9,100650.0,310.25,-9999.9,296.65,-9999.9,60.0,4.1,-9999.9,-9999.9,12000.0,210.0,-3.623897640047724,1.9176459252053115
2019-10-03 15:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.6,-9999.9,33.9,25.5,-9999.9,70.0,3.6,7000.0,-9999.9,-9999.9,|,-9999.9,100660.0,307.05,-9999.9,298.65,-9999.9,70.0,3.6,-9999.9,-9999.9,7000.0,200.0,1.7538756300252212,-3.143870269970381
2019-10-03 15:00:00,0.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1006.6,-9999.9,33.9,25.5,-9999.9,70.0,3.6,7000.0,-9999.9,-9999.9,|,-9999.9,100660.0,307.05,-9999.9,298.65,-9999.9,70.0,3.6,-9999.9,-9999.9,7000.0,200.0,1.7538756300252212,-3.143870269970381
2019-10-03 18:00:00,2.0,ADPSFC,SYNOP,41150.0,26.27,50.65,2.0,-9999.9,1007.0,-9999.9,32.8,26.5,-9999.9,110.0,4.1,9000.0,-9999.9,-9999.9,|,-9999.9,100700.0,305.95,-9999.9,299.65,-9999.9,110.0,4.1,-9999.9,-9999.9,9000.0,160.0,-4.000080182460473,0.8996435593539193
